Address,Name,Colour,Grey,Green,Zoom,LATITUDE,LONGITUDE
4051 QLD Australia,4051,yellow,0.9631016733,0.8123031619,Regional,,
4053 QLD Australia,4053,yellow,0.163852679,0.8435746046,Regional,,
4054 QLD Australia,4054,yellow,0.126051968,0.110425907,Regional,,
4055 QLD Australia,4055,yellow,0.6113956832,0.5147657467,Regional,,
4059 QLD Australia,4059,yellow,0.6325304042,0.1785071047,Regional,,
4060 QLD Australia,4060,yellow,0.8245068746,0.5138336085,Regional,,
4061 QLD Australia,4061,yellow,0.0854277202,0.5399194013,Regional,,
4064 QLD Australia,4064,yellow,0.6095255579,0.3698851656,Regional,,
4065 QLD Australia,4065,yellow,0.6932656602,0.6523112961,Regional,,
4066 QLD Australia,4066,yellow,0.03012425082,0.6766820532,Regional,,
4067 QLD Australia,4067,yellow,0.4749860839,0.8583025473,Regional,,
4068 QLD Australia,4068,yellow,0.6977994351,0.4377416507,Regional,,
4069 QLD Australia,4069,yellow,0.6420102015,0.7605576813,Regional,,
4070 QLD Australia,4070,yellow,0.03078506473,0.2584393227,Regional,,
4073 QLD Australia,4073,yellow,0.2381644461,0.8120403616,Regional,,
4074 QLD Australia,4074,yellow,0.9687242052,0.1334332878,Regional,,
4075 QLD Australia,4075,yellow,0.3143593884,0.02260116951,Regional,,
4076 QLD Australia,4076,yellow,0.7173480332,0.203710098,Regional,,
4077 QLD Australia,4077,yellow,0.1424464555,0.07465494404,Regional,,
4078 QLD Australia,4078,yellow,0.71557556,0.2647756018,Regional,,
4101 QLD Australia,4101,yellow,0.2314665806,0.8135536256,Regional,,
4102 QLD Australia,4102,yellow,0.1668613983,0.9959923329,Regional,,
4103 QLD Australia,4103,yellow,0.1995442482,0.03236325478,Regional,,
4104 QLD Australia,4104,yellow,0.1572830531,0.8507914762,Regional,,
4105 QLD Australia,4105,yellow,0.8759687048,0.7061047277,Regional,,
4106 QLD Australia,4106,yellow,0.5947733936,0.2984633226,Regional,,
4107 QLD Australia,4107,yellow,0.3605440956,0.3471198305,Regional,,
4108 QLD Australia,4108,yellow,0.9470675108,0.6404575752,Regional,,
4109 QLD Australia,4109,yellow,0.1510784857,0.9510754616,Regional,,
4110 QLD Australia,4110,yellow,0.03034820521,0.937600489,Regional,,
4112 QLD Australia,4112,yellow,0.864921577,0.08222040037,Regional,,
4113 QLD Australia,4113,yellow,0.9062371008,0.6793633522,Regional,,
4114 QLD Australia,4114,yellow,0.5267492488,0.006860953317,Regional,,
4115 QLD Australia,4115,yellow,0.2816938074,0.7022925766,Regional,,
4116 QLD Australia,4116,yellow,0.8723327471,0.4256228432,Regional,,
4117 QLD Australia,4117,yellow,0.6745484523,0.5219387807,Regional,,
4118 QLD Australia,4118,yellow,0.6268189199,0.2779187032,Regional,,
4119 QLD Australia,4119,yellow,0.006807833034,0.6810982187,Regional,,
4120 QLD Australia,4120,yellow,0.2560873482,0.2961417813,Regional,,
4121 QLD Australia,4121,yellow,0.2185388744,0.9369073875,Regional,,
4122 QLD Australia,4122,yellow,0.2610390592,0.4724583908,Regional,,
4123 QLD Australia,4123,yellow,0.9570477036,0.1103072318,Regional,,
4124 QLD Australia,4124,yellow,0.6872104701,0.3676727232,Regional,,
4125 QLD Australia,4125,yellow,0.3892360877,0.2036204482,Regional,,
4127 QLD Australia,4127,yellow,0.1558956382,0.2394896514,Regional,,
4128 QLD Australia,4128,yellow,0.7094315427,0.9554618896,Regional,,
4129 QLD Australia,4129,yellow,0.3879987164,0.2966024616,Regional,,
4130 QLD Australia,4130,yellow,0.9706515245,0.346928816,Regional,,
4131 QLD Australia,4131,yellow,0.8881273614,0.9953840306,Regional,,
4132 QLD Australia,4132,yellow,0.4541755395,0.6989935258,Regional,,
4133 QLD Australia,4133,yellow,0.1839774632,0.1875616904,Regional,,
4151 QLD Australia,4151,yellow,0.9104637981,0.9082487251,Regional,,
4152 QLD Australia,4152,yellow,0.7748480971,0.1001073002,Regional,,
4154 QLD Australia,4154,yellow,0.6538747711,0.05663130802,Regional,,
4155 QLD Australia,4155,yellow,0.7331649823,0.5826760772,Regional,,
4157 QLD Australia,4157,yellow,0.6742980764,0.1004775717,Regional,,
4158 QLD Australia,4158,yellow,0.7241795859,0.7932784998,Regional,,
4159 QLD Australia,4159,yellow,0.6407330815,0.5952392248,Regional,,
4160 QLD Australia,4160,yellow,0.06155024371,0.5094722398,Regional,,
4161 QLD Australia,4161,yellow,0.915008117,0.4444160068,Regional,,
4163 QLD Australia,4163,yellow,0.3003005809,0.5502117013,Regional,,
4164 QLD Australia,4164,yellow,0.4682485887,0.4747374802,Regional,,
4165 QLD Australia,4165,yellow,0.7836899378,0.3725946771,Regional,,
4169 QLD Australia,4169,yellow,0.8983668997,0.2343528117,Regional,,
4170 QLD Australia,4170,yellow,0.506818745,0.7680973133,Regional,,
4171 QLD Australia,4171,yellow,0.5837610491,0.7867645826,Regional,,
4172 QLD Australia,4172,yellow,0.637331914,0.7244900213,Regional,,
4173 QLD Australia,4173,yellow,0.376572264,0.4304683336,Regional,,
4174 QLD Australia,4174,yellow,0.04237164508,0.9424783502,Regional,,
4178 QLD Australia,4178,yellow,0.1382672861,0.2127366293,Regional,,
4179 QLD Australia,4179,yellow,0.2109702248,0.2002148017,Regional,,
4183 QLD Australia,4183,yellow,0.8509735838,0.8257133458,Regional,,
4184 QLD Australia,4184,yellow,0.03236287776,0.7441786702,Regional,,
4205 QLD Australia,4205,yellow,0.9999109058,0.9739594542,Regional,,
4207 QLD Australia,4207,yellow,0.9932389057,0.1515230216,Regional,,
4208 QLD Australia,4208,yellow,0.4154261181,0.5848190571,Regional,,
4209 QLD Australia,4209,yellow,0.4907397649,0.6568389998,Regional,,
4210 QLD Australia,4210,yellow,0.7875525127,0.2964505794,Regional,,
4211 QLD Australia,4211,yellow,0.1230501926,0.7653897462,Regional,,
4212 QLD Australia,4212,yellow,0.6216788094,0.5030946524,Regional,,
4213 QLD Australia,4213,yellow,0.01571889707,0.08521717683,Regional,,
4214 QLD Australia,4214,yellow,0.4908269537,0.8631266914,Regional,,
4215 QLD Australia,4215,yellow,0.4693837203,0.7021270238,Regional,,
4216 QLD Australia,4216,yellow,0.05820229464,0.5826689303,Regional,,
4217 QLD Australia,4217,yellow,0.4733653764,0.09440868946,Regional,,
4218 QLD Australia,4218,yellow,0.4930933506,0.9760131715,Regional,,
4220 QLD Australia,4220,yellow,0.919632798,0.5382481973,Regional,,
4221 QLD Australia,4221,yellow,0.5838627598,0.77383183,Regional,,
4223 QLD Australia,4223,yellow,0.6729326843,0.1901440556,Regional,,
4224 QLD Australia,4224,yellow,0.06368469345,0.4011318418,Regional,,
4225 QLD Australia,4225,yellow,0.005414088407,0.5492372945,Regional,,
4226 QLD Australia,4226,yellow,0.4078486027,0.9791323181,Regional,,
4227 QLD Australia,4227,yellow,0.2878688397,0.8003189192,Regional,,
4228 QLD Australia,4228,yellow,0.6358628073,0.1187231507,Regional,,
4270 QLD Australia,4270,yellow,0.2447468848,0.617379024,Regional,,
4272 QLD Australia,4272,yellow,0.457255529,0.6678890154,Regional,,
4275 QLD Australia,4275,yellow,0.5263953183,0.3679134884,Regional,,
4280 QLD Australia,4280,yellow,0.4368853393,0.4514590551,Regional,,
4285 QLD Australia,4285,yellow,0.8295083337,0.2998065045,Regional,,
4287 QLD Australia,4287,yellow,0.7237366803,0.6987695344,Regional,,
4300 QLD Australia,4300,yellow,0.3055650471,0.2154572314,Regional,,
4301 QLD Australia,4301,yellow,0.2865905403,0.2933030709,Regional,,
4303 QLD Australia,4303,yellow,0.5370706711,0.3419222478,Regional,,
4304 QLD Australia,4304,yellow,0.5306239639,0.1980949619,Regional,,
4305 QLD Australia,4305,yellow,0.9327056548,0.5911953118,Regional,,
4306 QLD Australia,4306,yellow,0.6309066744,0.4116731887,Regional,,
4307 QLD Australia,4307,yellow,0.9950269623,0.1713489649,Regional,,
4309 QLD Australia,4309,yellow,0.9119268162,0.5915257008,Regional,,
4310 QLD Australia,4310,yellow,0.5481540439,0.55711291,Regional,,
4311 QLD Australia,4311,yellow,0.1266917634,0.04556468536,Regional,,
4312 QLD Australia,4312,yellow,0.6779114351,0.1575665106,Regional,,
4313 QLD Australia,4313,yellow,0.5446146235,0.1367848903,Regional,,
4314 QLD Australia,4314,yellow,0.8331891014,0.6289737581,Regional,,
4340 QLD Australia,4340,yellow,0.3443101948,0.2722882839,Regional,,
4341 QLD Australia,4341,yellow,0.264820605,0.6723910239,Regional,,
4342 QLD Australia,4342,yellow,0.9255891585,0.5550756576,Regional,,
4343 QLD Australia,4343,yellow,0.7370679353,0.3285290106,Regional,,
4344 QLD Australia,4344,yellow,0.4043525034,0.8654805035,Regional,,
4347 QLD Australia,4347,yellow,0.236841604,0.2364525571,Regional,,
4352 QLD Australia,4352,yellow,0.734753098,0.608848559,Regional,,
4500 QLD Australia,4500,yellow,0.2270727423,0.05805274125,Regional,,
4501 QLD Australia,4501,yellow,0.6149043406,0.6170421683,Regional,,
4502 QLD Australia,4502,yellow,0.8431939626,0.2868277187,Regional,,
4503 QLD Australia,4503,yellow,0.5755810946,0.7235752186,Regional,,
4504 QLD Australia,4504,yellow,0.3154740159,0.9573605541,Regional,,
4505 QLD Australia,4505,yellow,0.4257710535,0.3456614171,Regional,,
4506 QLD Australia,4506,yellow,0.8149908628,0.3509830517,Regional,,
4507 QLD Australia,4507,yellow,0.5345994733,0.001184681307,Regional,,
4508 QLD Australia,4508,yellow,0.8673165237,0.6534670996,Regional,,
4509 QLD Australia,4509,yellow,0.2660641197,0.06457739793,Regional,,
4510 QLD Australia,4510,yellow,0.4555263565,0.6621858709,Regional,,
4511 QLD Australia,4511,yellow,0.2511808994,0.2228185962,Regional,,
4512 QLD Australia,4512,yellow,0.9429343037,0.06303914067,Regional,,
4514 QLD Australia,4514,yellow,0.08155559818,0.03124090897,Regional,,
4515 QLD Australia,4515,yellow,0.9859947539,0.5015386333,Regional,,
4516 QLD Australia,4516,yellow,0.4390601718,0.688561429,Regional,,
4517 QLD Australia,4517,yellow,0.6791008947,0.6578003087,Regional,,
4518 QLD Australia,4518,yellow,0.6382069535,0.6515283995,Regional,,
4519 QLD Australia,4519,yellow,0.2755482225,0.8017930502,Regional,,
4520 QLD Australia,4520,yellow,0.05097761339,0.9918021405,Regional,,
4521 QLD Australia,4521,yellow,0.9627211174,0.8530436218,Regional,,
4550 QLD Australia,4550,yellow,0.9082783034,0.4611652275,Regional,,
4551 QLD Australia,4551,yellow,0.3345993132,0.7981002599,Regional,,
4552 QLD Australia,4552,yellow,0.527855893,0.07588334145,Regional,,
4553 QLD Australia,4553,yellow,0.4009705381,0.4294083297,Regional,,
4555 QLD Australia,4555,yellow,0.1054247214,0.6570148793,Regional,,
4556 QLD Australia,4556,yellow,0.2002740025,0.7608532048,Regional,,
4557 QLD Australia,4557,yellow,0.8239171599,0.1706943247,Regional,,
4558 QLD Australia,4558,yellow,0.341789045,0.1480770748,Regional,,
4559 QLD Australia,4559,yellow,0.1851853993,0.9008899647,Regional,,
4560 QLD Australia,4560,yellow,0.09292215148,0.09577776074,Regional,,
4561 QLD Australia,4561,yellow,0.1491459457,0.4568643657,Regional,,
4562 QLD Australia,4562,yellow,0.9486345113,0.9695497195,Regional,,
4563 QLD Australia,4563,yellow,0.8772721602,0.3685415362,Regional,,
4564 QLD Australia,4564,yellow,0.9725912468,0.3464282793,Regional,,
4565 QLD Australia,4565,yellow,0.6205047968,0.555211998,Regional,,
4566 QLD Australia,4566,yellow,0.5834031175,0.5361501325,Regional,,
4567 QLD Australia,4567,yellow,0.566063698,0.2664828381,Regional,,
4568 QLD Australia,4568,yellow,0.8743696619,0.884244649,Regional,,
4570 QLD Australia,4570,yellow,0.2633086501,0.1891072882,Regional,,
4571 QLD Australia,4571,yellow,0.001422418228,0.8284220553,Regional,,
4572 QLD Australia,4572,yellow,0.5857113597,0.2893038614,Regional,,
4573 QLD Australia,4573,yellow,0.6515059802,0.3213261267,Regional,,
4574 QLD Australia,4574,yellow,0.05416376164,0.6174027216,Regional,,
4575 QLD Australia,4575,yellow,0.1124232267,0.155570452,Regional,,
4580 QLD Australia,4580,yellow,0.7462632536,0.7401326982,Regional,,
4581 QLD Australia,4581,yellow,0.005210404464,0.931079187,Regional,,
Queensland Australia,Queensland,yellow,0.946878295,0.6855892519,Country,,
BAYSIDE NSW Australia,BAYSIDE,yellow,0.3113970662,0.8901045164,State,,
BURWOOD NSW Australia,BURWOOD,yellow,0.1572125974,0.2869003628,State,,
CANADA BAY NSW Australia,CANADA BAY,yellow,0.9300443679,0.6118947365,State,,
CANTERBURY-BANKSTOWN NSW Australia,CANTERBURY-BANKSTOWN,yellow,0.07275005877,0.592833656,State,,
CENTRAL COAST NSW Australia,CENTRAL COAST,yellow,0.6332447917,0.6068384638,State,,
CESSNOCK NSW Australia,CESSNOCK,yellow,0.6648764267,0.577064813,State,,
CUMBERLAND NSW Australia,CUMBERLAND,yellow,0.9538050191,0.1790116965,State,,
GEORGES RIVER NSW Australia,GEORGES RIVER,yellow,0.5566380019,0.7225536205,State,,
HORNSBY NSW Australia,HORNSBY,yellow,0.2351232124,0.5364067355,State,,
HUNTERS HILL NSW Australia,HUNTERS HILL,yellow,0.4700115075,0.1834509945,State,,
INNER WEST NSW Australia,INNER WEST,yellow,0.8008104522,0.01972265084,State,,
KU-RING-GAI NSW Australia,KU-RING-GAI,yellow,0.6402237073,0.1341864554,State,,
LAKE MACQUARIE NSW Australia,LAKE MACQUARIE,yellow,0.9603956397,0.4934493347,State,,
LANE COVE NSW Australia,LANE COVE,yellow,0.742072928,0.6038624689,State,,
MAITLAND NSW Australia,MAITLAND,yellow,0.3574920623,0.3970781363,State,,
MOSMAN NSW Australia,MOSMAN,yellow,0.05386902411,0.5638081218,State,,
MUSWELLBROOK NSW Australia,MUSWELLBROOK,yellow,0.9880926469,0.6896240167,State,,
NEWCASTLE NSW Australia,NEWCASTLE,yellow,0.2965223217,0.2871217578,State,,
NORTH SYDNEY NSW Australia,NORTH SYDNEY,yellow,0.06920038232,0.9372456688,State,,
NORTHERN BEACHES NSW Australia,NORTHERN BEACHES,yellow,0.8284761308,0.03125844671,State,,
PARRAMATTA NSW Australia,PARRAMATTA,yellow,0.8217893304,0.0916013004,State,,
PORT STEPHENS NSW Australia,PORT STEPHENS,yellow,0.6515914002,0.9081946541,State,,
RANDWICK NSW Australia,RANDWICK,yellow,0.147130357,0.08567988097,State,,
RYDE NSW Australia,RYDE,yellow,0.9887563258,0.4014291004,State,,
SINGLETON NSW Australia,SINGLETON,yellow,0.1218054402,0.2341986726,State,,
STRATHFIELD NSW Australia,STRATHFIELD,yellow,0.03090748771,0.365055657,State,,
SUTHERLAND NSW Australia,SUTHERLAND,yellow,0.2142727446,0.5672598274,State,,
SYDNEY NSW Australia,SYDNEY,yellow,0.819313726,0.4973701725,State,,
UPPER HUNTER NSW Australia,UPPER HUNTER,yellow,0.1346343801,0.6488101373,State,,
WAVERLEY NSW Australia,WAVERLEY,yellow,0.1283870532,0.2199501326,State,,
WILLOUGHBY NSW Australia,WILLOUGHBY,yellow,0.2692973865,0.1355498704,State,,
WOOLLAHRA NSW Australia,WOOLLAHRA,yellow,0.6449502382,0.6128721974,State,,
22 Ray Street Sunshine Beach QLD 4567,Ray Street,yellow,0.723507541,0.3172875804,Local,,
7000 TAS Australia,7000,yellow,0.7018035103,0.5577098404,State,,
7004 TAS Australia,7004,yellow,0.09727510306,0.1463404469,State,,
7005 TAS Australia,7005,yellow,0.3165978251,0.5221790992,State,,
7007 TAS Australia,7007,yellow,0.2540000945,0.8114298701,State,,
7008 TAS Australia,7008,yellow,0.3114356741,0.4837777807,State,,
7054 TAS Australia,7054,yellow,0.5061440512,0.740624797,State,,
Orient Drive 16 Sunrise Beach Queensland Australia,RORY AND JANNEKE WILLIAMSON,yellow,0.8442846191,0.3344891697,Local,,
Kareela Avenue 14 Noosa Heads Queensland Australia,Paul Turner NOOSA,yellow,0.8385845546,0.02823618486,Local,,
Stevens Street 22 Sunshine Beach Queensland Australia,SKYE MCDARMONT,yellow,0.7702029749,0.734598978,Local,,
Tingira Crescent 39 Sunrise Beach Queensland Australia,COLIN KENNEDY TINGIRA,yellow,0.01782699762,0.672167796,Local,,
Mariners Place 12 Sunrise Beach Queensland Australia,JASON AND KELLY FLOYD,yellow,0.8685408378,0.7908995555,Local,,
Sobraon Street 28 Sunrise Beach Queensland Australia,KEN AND WENDY HEINZE,yellow,0.6940383755,0.6810798118,Local,,
Weyba Street 41 Sunshine Beach Queensland Australia,YANA BROWN,yellow,0.1216937796,0.1230330302,Local,,
196/82 BOUNDARY STREET BRISBANE CITY QLD Australia,,yellow,0.8929057232,0.06482375332,Local,-27.46250626,153.033792
92A RIDGEWAY AVENUE SOUTHPORT QLD Australia,,yellow,0.9116509861,0.8514509879,Local,-27.98669119,153.4030186
3006 SURFERS PARADISE BOULEVARD SURFERS PARADISE QLD Australia,,yellow,0.6156117668,0.9569584953,Local,-28.00823776,153.4290197
3006 GOLD COAST HIGHWAY SURFERS PARADISE QLD Australia,,yellow,0.2124929432,0.7914449872,Local,-28.00823776,153.4290197
321 GRAY STREET ROADVALE QLD Australia,,yellow,0.6177588998,0.6347585529,Local,-27.91765433,152.6845906
22 RIVERDOWNS CRESCENT HELENSVALE QLD Australia,,yellow,0.6001585335,0.6699289252,Local,-27.88826688,153.3221413
20 RIVERDOWNS CRESCENT HELENSVALE QLD Australia,,yellow,0.8218620019,0.9999778254,Local,-27.8886074,153.3218856
18 RIVERDOWNS CRESCENT HELENSVALE QLD Australia,,yellow,0.1752150839,0.4951307075,Local,-27.88900494,153.3217251
16 RIVERDOWNS CRESCENT HELENSVALE QLD Australia,,yellow,0.233069396,0.1627330805,Local,-27.88936371,153.321875
14 RIVERDOWNS CRESCENT HELENSVALE QLD Australia,,yellow,0.3000291369,0.3040771623,Local,-27.88968687,153.3220788
12 RIVERDOWNS CRESCENT HELENSVALE QLD Australia,,yellow,0.6740605118,0.1312235757,Local,-27.88994605,153.322435
3 GWYDIR COURT HELENSVALE QLD Australia,,yellow,0.3886495167,0.3887328921,Local,-27.89028637,153.3222647
40/460 ANN STREET BRISBANE CITY QLD Australia,,yellow,0.1326077004,0.2516038865,Local,-27.46244843,153.030622
NSW Australia,NSW,yellow,0.8558788761,0.7588802645,Country,,
VIC Australia,VIC,yellow,0.02407897438,0.9651797834,Country,,
QLD Australia,QLD,yellow,0.7314232727,0.03830407048,Country,,
WA Australia,WA,yellow,0.2111972357,0.654197365,Country,,
SA Australia,SA,yellow,0.3756738185,0.2105713335,Country,,
TAS Australia,TAS,yellow,0.1946606526,0.8328481031,Country,,
NT Australia,NT,yellow,0.1955886077,0.6316729557,Country,,
Australia,Australia,yellow,0.3697859197,0.5845219822,Country,,
957 Wuruma Dam Road Abercorn QLD 4627Australia,Abercorn State School,yellow,0.252306745,0.5090208303,Local,151.127031,-25.135955
5 Venables Road Abergowrie QLD 4850Australia,Abergowrie State School,yellow,0.8459832299,0.1717253977,Local,145.88351,-18.474697
Nyngam Street Acacia Ridge QLD 4110Australia,Acacia Ridge State School,yellow,0.1765408245,0.6097700464,Local,153.016074,-27.579554
1 Donohue Drive Agnes Water QLD 4677Australia,Agnes Water State School,yellow,0.6034062428,0.6528167102,Local,151.91056,-24.213972
Old Clare Road Airville QLD 4807Australia,Airville State School,yellow,0.8634578541,0.3061631643,Local,147.347629,-19.65519
67-85 Wotton Street Aitkenvale QLD 4814Australia,Aitkenvale State School,yellow,0.2324194043,0.7927952694,Local,146.763058,-19.296785
Albany Forest Drive Albany Creek QLD 4035Australia,Albany Creek State High School,yellow,0.005673117509,0.1915691688,Local,152.968606,-27.357634
696 Albany Creek Road Albany Creek QLD 4035Australia,Albany Creek State School,yellow,0.7603012595,0.8935666495,Local,152.970666,-27.34586
Keong Road Albany Creek QLD 4035Australia,Albany Hills State School,yellow,0.6411451641,0.4081171671,Local,152.97278,-27.36034
210-220 Albert Street Maryborough QLD 4650Australia,Albert State School,yellow,0.6034015393,0.1846901289,Local,152.703888,-25.546785
Boys Avenue Maryborough QLD 4650Australia,Aldridge State High School,yellow,0.5421743467,0.5153008162,Local,152.688545,-25.516557
Lot 1 Cape Tribulation Road Diwan QLD 4873Australia,Alexandra Bay State School,yellow,0.08550432942,0.4483504246,Local,145.42225,-16.213862
Windemere Road Alexandra Hills QLD 4161Australia,Alexandra Hills State High School,yellow,0.4523713185,0.1986564381,Local,153.215428,-27.523768
12 Princeton Avenue Alexandra Hills QLD 4161Australia,Alexandra Hills State School,yellow,0.7522964047,0.265179886,Local,153.221279,-27.518141
19 Endiandra Street Algester QLD 4115Australia,Algester State School,yellow,0.8903762022,0.3685938639,Local,153.031915,-27.615675
Upper Dawson Road Allenstown QLD 4700Australia,Allenstown State School,yellow,0.4433973585,0.1619675874,Local,150.502671,-23.391906
50 Grasstree Road Alligator Creek QLD 4740Australia,Alligator Creek State School,yellow,0.4822726563,0.231686329,Local,149.211559,-21.329398
21 Warwick Street Allora QLD 4362Australia,Allora P-10 State School,yellow,0.9671966994,0.2401434802,Local,151.986183,-28.036194
4334 Goodwood Road Alloway QLD 4670Australia,Alloway State School,yellow,0.559055929,0.7302015869,Local,152.378285,-24.952136
Nielsen Street Aloomba QLD 4871Australia,Aloomba State School,yellow,0.1387824933,0.4430267912,Local,145.831978,-17.10984
Milton Street Alpha QLD 4724Australia,Alpha State School,yellow,0.06117712596,0.3403832937,Local,146.642263,-23.650791
2 Elizabeth Street Amamoor QLD 4570Australia,Amamoor State School,yellow,0.8875349787,0.4801797725,Local,152.67315,-26.346411
37 Deebing Creek Road Yamanto QLD 4305Australia,Amberley District State School,yellow,0.6291008712,0.5959685651,Local,152.750141,-27.65749
39 Gentle Annie Road Ambrose QLD 4695Australia,Ambrose State School,yellow,0.1184975267,0.5688098311,Local,150.921893,-23.786492
1337 Amiens Road Amiens QLD 4380Australia,Amiens State School,yellow,0.1269769408,0.8606532874,Local,151.812654,-28.594568
Cook Street The Gemfields QLD 4702Australia,Anakie State School,yellow,0.02042693943,0.5750135497,Local,147.745856,-23.554011
Fernleigh Avenue Andergrove QLD 4740Australia,Andergrove State School,yellow,0.7459409525,0.811694544,Local,149.188241,-21.086247
Cnr Oleander Street & Yolanda Drive Annandale QLD 4814Australia,Annandale State School,yellow,0.5534633325,0.8417590451,Local,146.778441,-19.315285
25576 New England Highway Applethorpe QLD 4378Australia,Applethorpe State School,yellow,0.2642227121,0.8165649947,Local,151.955354,-28.612562
69 Porter Street Aramac QLD 4726Australia,Aramac State School,yellow,0.9206496793,0.9758534517,Local,145.242684,-22.974429
41 Elizabeth Street Aratula QLD 4309Australia,Aratula State School,yellow,0.003155778143,0.8855512772,Local,152.544186,-27.980839
4831 Arcadia Valley Road Arcadia Valley QLD 4454Australia,Arcadia Valley State School,yellow,0.9300696699,0.1327446329,Local,148.820874,-25.255099
Cnr Napper Road & Arundel Drive Arundel QLD 4214Australia,Arundel State School,yellow,0.5113447567,0.1654147121,Local,153.36587,-27.945078
Pringle Street Ascot QLD 4007Australia,Ascot State School,yellow,0.2881616209,0.8858576697,Local,153.055952,-27.432671
31 Glory Street Ashgrove QLD 4060Australia,Ashgrove State School,yellow,0.03366194523,0.002709276569,Local,152.976542,-27.448125
Currumburra Road Ashmore QLD 4214Australia,Ashmore State School,yellow,0.02980573053,0.5962678341,Local,153.381323,-27.989147
35 Reinke Road Ashwell QLD 4340Australia,Ashwell State School,yellow,0.3774081728,0.4500785971,Local,152.556566,-27.629413
31 Helena Street Aspley QLD 4034Australia,Aspley East State School,yellow,0.4870701572,0.3088638765,Local,153.023968,-27.362313
751 Zillmere Road Aspley QLD 4034Australia,Aspley Special School,yellow,0.8748873888,0.714829802,Local,153.021118,-27.356718
651 Zillmere Road Aspley QLD 4034Australia,Aspley State High School,yellow,0.4260414343,0.5927566042,Local,153.024213,-27.357169
Maundrell Terrace Aspley QLD 4034Australia,Aspley State School,yellow,0.7598080145,0.4563089086,Local,153.014592,-27.369898
Maunds Road Atherton QLD 4883Australia,Atherton State High School,yellow,0.2399531664,0.4165394975,Local,145.486092,-17.260064
Armstrong Street Atherton QLD 4883Australia,Atherton State School,yellow,0.4243388042,0.02707921855,Local,145.481622,-17.261668
Cavanagh Street Augathella QLD 4477Australia,Augathella State School,yellow,0.3768659278,0.1031096495,Local,146.583358,-25.79714
60-100 Brittains Road Augustine Heights QLD 4300Australia,Augusta State School,yellow,0.704310407,0.7226301957,Local,152.876523,-27.655808
Wuungkam Street Aurukun QLD 4892Australia,Aurukun State School,yellow,0.5014410833,0.6441087009,Local,141.729393,-13.353032
Widdop Street Hendra QLD 4011Australia,Aviation High,yellow,0.5519682368,0.8553213736,Local,153.062996,-27.414323
Twyford Street Avoca QLD 4670Australia,Avoca State School,yellow,0.2428894337,0.1706453608,Local,152.313454,-24.883639
